Tweet,Username,AverageAnnotation
 no corruption oo. floyd is just a very smart boxer. #48-0,AlbashG77,1.5
 u flatter me,GhostlyFoxGirl,1.25
and i'm sure the rent is going to increase a lot more than what my landlady said now that she's going to talk to the agency oh fuuucckk,FooledBySecrecy,-2.0
 gracias <happy> y enhorabuena a ken!,aliettedb,0.4
 you have a fandom lmao famous 1d fan acc have more followers than you lil bitch,zaynxrilly,-0.5
 very loveliest! <love> <love>,rf_fangirl,1.0
 aren't they great?!?!?!,righteoustiger,0.6
all eht extra shit for the birds buddy .,_ShystLife_,-1.0
this episode of ahs holy shit,AtharSaad,-1.0
american sniper has ruined the cool films that begin with american,ShakeyGr4ves,-1.75
my head is killing me.,SaveThe_Tits,-1.6
i'm still in love.,shivammay15,1.4
shailene is so adorable on that old movie i'm watching. i can't :3,thehybridthings,0.8
you shall have had a great evening by the time you read this.,asmallmind,1.2
 were you guys enjoying my heckling?,They_call_me_po,0.2
fucking embarrassing. this team needs to get its fucking shit together. goddammit.,AngryTigersFan,-1.6
only 1 hour left to bid on some great family-friendly items in 's online silent auction!,corazenia,0.8
 that's not ok. for obvious reasons. less obvious: the roots of dominant sci epistemology are not european. we've been lied to.,IBJIYONGI,-0.6
everything is slowly falling into place. i feel.,dandreal_,1.0
back from family road trip to big sur. carmel. hearst castle. solvang and getty museum. had fun!,ArlenePellicane,2.0
ausmus fucking pull him already for christs sake,AngryTigersFan,-1.0
i have fallen in love with my english teacher and i'm going to spend my summer crying over the fact he is leaving,abbiexmcmaster,-0.4
 she straightened it.. which is even worse bc i can do that myself. but i just took a shower like an hour ago and i didn't,Zehquisha,-0.8
 is this seriously legit?,xXflowergirl1Xx,-1.0
totally non-violent gun nuts call for gabby giffords to be shot again (images),knoxkp,-0.75
 u rock short hair. i'm talkin ab girls who tell girls to cut their hair &amp; they have beautiful hair &amp; couldn't rock short,sydneydavisss,0.2
why does she even waste her time omg like move on and eat another donut,reynsss_,0.3333333333333333
 i suppose you just laugh it off. lad points. think that's what i'd do. if i watched porn that is. my life is blemish free,The_Bounder,-0.25
: : this is adorable,reynsss_,1.6
 definitely! (common expectation. though - so smart to mention there's no 'lake access' to avoid surprises!),HelenStratigos1,1.0
he prays for peace.,aishamariea,2.0
 i was begged. but that's reg...lowkey bars,tamara_kiana,-0.4
 enjoy dunkin donuts.,bolony,0.75
do i look like a yellow pole to him?!,yohhnaaa,0.2
i'm so thankful for sean in so many different ways. i have an amazing amazing boyfriend! #appreciationtweet,YaGirlMeeks,1.8
also 'drug addicts would still get their fix somehow!!' excuse. look fuck off because that meant less drugs on the streets,whateverlinaa,-0.25
 bitch yes i do see the damn wink,dailytroye_,-0.8
omg ano ito i need to jog. must. ready. heart. and. mind. and. soul. jk i'm gonna take a nap. #forevermorefallapart,maaaaamro,0.4
. . you're like so deep! but i never said racist the word is hateful - you know. teaparty republican #p2,knoxkp,1.0
i'm in-love over and over.. <happy>,chocoaddict23,1.6666666666666667
 i think so... besides. i enjoy doing it! it relaxes me. it both mindless and mindful at the same time.,rainadobson,1.75
good with just the word. sorry <love>,umarzada01,1.4
oldie. but a goodie: success is going from failure to failure without loss of enthusiasm. -winston churchill,4charitysystems,0.2
 do u see this,saltandburnitt,0.0
hope i didn't have any homework this weekend,They_call_me_po,-0.4
 some of the most fun ive had was leveling my priest on wow,Cobblywobbly,0.4
fowler is solid but ranks near bottom of the ny6 pbp guys. and that doesn't even count gus &amp; verne. ,Thav916,-0.5
 gagi rico is like artistang namatay sa bangugot wag ka na choosy lol,hellohanina,0.25
 glad to hear it!,bar_bint,1.0
am i a terrible canadian for saying i've never liked any of tim hortons' food offerings? french onion soup. various sandwiches. etc. bland.,HelenStratigos1,-0.75
 no they're actual hamburgers just named after him like the store lmao,StepOnMe_Ant,-0.6
yay got my first pair of people ask me for my photo today. officially famous,PhillipJCarter,1.4
still. the cinematography is a lot better. i like how they're conflating character with place.,GanymedeElegy,1.2
 smd you fuck,PeachHayden,-1.8
i feel like an extreme pansy drinking wine while watching football. it just seems so awkward.,cieramackel,-1.3333333333333333
 awww <sad> i hope everything is okay,Tape_Dispenser_,0.8
google can't even help you look for a good personality to replace that ugly one.!,wild_is_my_life,-0.6
remember #cowx in april 2013? snowstorms saved us from prolonged drought. happy #tbt,DenverWater,1.0
 omfg no. phil is such a twink bottom.,ryansgaybies,-0.25
kidnaps limmy-chan from faith.,Demonic_Abigail,-0.6666666666666666
 why cant i  you it would be better if i can  these tweets of you rn,CLAIREDRAMIREZX,0.2
brought myself a pair of kontrol freaks bo3 edition,_asxp83,0.5
 just one??? lol,tkl277iztha1,0.5
the thing is. i can say kill tories all i want but we will still never have a 1 tory dead to every 100 disabled people ratio. sad.,mburnhope,-1.5
 i know right? then they realise they fucked up after marrying or having babiesssss lol,aishamariea,-2.0
clearly. you have feelings for her. but you can't compete with the long-lost agent mulder. with his easy good looks. his oxford education.,AllThingsMSR,0.5
pizza ranch when we all get back?! please?! ,Tinijensen,0.75
 i was sooo pissed u left first. u wud have been such a popular n great personality on the show. hope things are going good tho,RDUBBS518,-0.2
about last night.......awesome!!!!!,4keithm,1.6666666666666667
 #love to speed so driverless cars will not work for me,andrealegend,-0.6
okay bitch???? have you forgotten who owns this account????,toraye_,-1.25
 it's an easy fix <tease>,Awes_ma,1.25
oh my god this book is making me emotional,smilingforjack,0.25
poison me with ur love. and maybe some kitchen chemicals also,yourghostlyfox,-0.5
proud of jv today by getting that w. great job boy. you played your heart out and got 22-0 ,SimmonsJonah,1.5
sorry. it wasn't my goal to offend you(or anyone).,bonchette,0.4
young and open girl who wants to create a strong family. in that there is harmony and idyl...,candy_brides,1.25
i'm awesome! no one unfollowed me but if they did i would have known thanks to,JessicaLisyus_,1.2
*doctor writes fucking savage on clipboard*,virtuous_being,0.2
 when did i mention tumblr? i also said it matter that men are raped.,YouMeAtYMAS,-0.6
 get a mangrate,adrianraiford,0.25
and a few years ago it seemed to be impossible to revive al pacino: inch by inch. all his life had to be won back...,TatyanaB5,0.75
 i like this kid,cieramackel,1.4
when you think someone likes you,shanamaina,0.6
i'm still fucking bricking it though. i really don't want to do it.,quartermaaster,-1.75
shit i can't wake up without one of my lazy ass family members in my ear asking for favors,ShainaDawnn,-1.8
 lol. glad to see us #jamaicans excellinq but i know you're a man u fan but you think will finish 4th wit the fa cup?,zykxx,0.6
 this is america. lets remember this before acting like rational thought wins out,raptureveteran,-1.25
haha. has been slamming mayweather even before the fight was scheduled. now mayweather wins&amp;skip is butthurt.,CLF_423,-0.6666666666666666
 my shit wya,StepOnMe_Ant,-0.8
 not on the point i'm making. of the much vaunted increase in jobs of 1.8m 33% are 0 hrs,5stringpaul,0.25
just a little edit i made (bc of boredom) because i want her to win so bad. #votetrismtv,thehybridthings,1.0
 you should use the next 3 days off to find your balls. you're playing garbage. what happened to aggressive teague? man up dude.,raptureveteran,-1.6
 not wine lol but yes,StepOnMe_Ant,0.25
 i know what the fuck have u created,saltandburnitt,-1.4
 lmao i hate u.,sundaexo,-1.25
why is a parent's favorite question: sooooooo.. any new boyfriends i should know about?,alevilevi,-0.2
i love talking to ,chasemyyers,1.6
 - at what point does r superpac $ stay on sideline or move toward house/sen races? lost cause is a bad investment,adrianraiford,-1.0
sir karl: kamusta ang tulog dyan?!?!?,hellohanina,0.0
up 22 hours now. do the kids say #yolo at this point? (@ steak 'n shake),chrisspangle,0.5
 i'm so disappointed in myself,LiamShikari,-1.8
&amp; getting my hair done so i don't look like i'm balding,bellzuh_,1.0
me and my teacher have a lot in common,twurkdallas_,1.3333333333333333
 oh yeah! that was out of nowhere and amazing!!!,brydesantis,2.2
 good guy daithi xd,SkippyCinematic,0.6
 it's good. not perfect. but well worth a watch.,mburnhope,1.0
 writer is a guy. khalil played the writer. .. ..,rf_fangirl,0.4
#sidepuff is #fun and #easy!! #happyfriday- #friday's are the funnest #lmaooooooo,Vannie3000,1.0
a change of directions is completely possible so stay flexible. keep an open mind and have faith in what is taking place. #newperspective,my1heart,2.2
being pushed away is the worse feeling ever,VarnerKaleigh,-0.8
it's pizza pocket day!!!!! my kids have had one pizza pocket in their entire lives so i thought let's go for two times. they are excited <happy>,cheriebeme03,1.6666666666666667
and that ugly bitch has the audacity to say arabs are disgusting lol people make me laugh look in a mirror before you say stupid stuff <sad>,taash_xo,-1.0
how to use your iron to get stubborn stains out of carpet!,ironmaids,0.6
 <happy-tears> i can die happily now.,rockzist,0.8
i feel like i have run out of things to say about #blacklivesmatter and other people are doing a better job of discussing it than i could,IBJIYONGI,-1.0
someone entertain my brain,sydneydavisss,0.0
hate is a strong word,Tori_Mace,-0.25
im gentle. feminine girl. a bit shy. but i can be very passionate with the right man. can ...,candy_brides,1.0
i suck &amp; fuck &amp; finger you. but you want me to cling to you. and i ain't asking you to change. because i know i can't jingle you.,Reemaveli,-1.2
despair up to the point when they provoke you to tell the fucking punchline before you have told the joke,Elliecoll,-0.8
love getting all my work done and actually being able to enjoy the weekend.,ArtofConfusion,1.6
3 niggas with me me myself and i. god don't like ugly and you should testify,silencieux95,-0.6
good music. ye weather,uknowcamille,1.2
psychological fact: your mind rewrites the speech of boring people to make it sound more interesting.,landpsychology,1.0
many epl fans r like epl is tougher than cl. oh.. dear lord help those mentally blind people.,Ajinkyaworld,-0.6
 i am a blood demon. one of the rarest types. she explained. usually we are killed at birth yet a kind demon rescued me,Demonic_Abigail,-0.6
i'm not ready for this.,r3beccagraham,-1.0
these are the people who inspire me. those who make a way when there is none. those who do something no one has done.,taylor_annem,1.6
hindi ko lang tlga gusto ung set. excess stories at editing pero okay naman in terms of the process and coaches <happy> #thevoiceofthephilippines,janwesley,0.4
i`m an intelligent and positive young woman. i`m full of energy for our amazing life and b...,candy_brides,2.2
how do i undo myself from being friends with some people? aha please,rjfr_,-1.5
spending the evening playing deal or no deal in mcdonalds #truelove,Adlewis91,1.2
: in the end..,JessicaLisyus_,0.0
these dolphins are fucking creepy lsd perverts,quartermaaster,-1.25
not very happy with my life,PeachHayden,-1.4
gratitude 4  mt fav &gt; ,DTNEtiquette,0.2
pettiest poem ever. i love it.,Please_No_Pics,2.25
 please look at this it's not mine but it's amazing x189,zaynxrilly,0.4
 hahaha i'll end my life before i submit to you. no one has broke me nor will they hahaha!!,PureSavageDante,-1.6
 love that nyx lipstick,bridezilla_life,1.5
 got my hands in the cookie jar again. so throw yo j's up 'cause i gotta summer surprise in store!,WillJaxx,1.2
 just wanted to say loves you and you're his bestest friend ever,deprcsscd,2.2
i love tyler. the creator. the internet. all of them,Tiana_Cubana,1.5
some girls are lucky cause all they do it tweet notice me and he notices them and in here like tweeting a lot,twurkdallas_,0.6
woke up to myself face down into my bio book <skeptical> lol my nose hurts,brenna_annalise,-0.75
eating cheese dip with doritos sweet chili #friday #movienight,Emma0839,1.0
 awesome! pls leave a comment on the blog to be entered to win and get support. have fun!,HillaryRubin,0.75
i'm losing motivation so i'm gonna save it by listening to uptown funk,GhostlyFoxGirl,0.0
tbh luke looks cute here hehe,pixjeperry,1.3333333333333333
 -__- ok. im finally here. bout to log in!,schontherattler,1.0
 i love you more,alllovehes,1.5
 you're welcome! haha <happy>,YoItsLilBlue,1.5
drop it slowly asshole <happy>,pixjeperry,-0.8
 the marketing for star wars is great because they're showing us a lot of cool stuff without showing us anything.,YellowCranePr,1.2
 today is going straight to hell.,Harrison101HD,-1.8
 rest is good!! if you like tea and you have some you should try that! feel better. okay? -3-,TheAnglophiler,1.25
stranger: your dog is unusual looking,adriantoomey,-0.6
horrible bosses never get old lol,sunara_11,-1.0
your new possibilities won't have a chance to flourish in your life if you hold on to the old ones that aren't working!so let go and let god,WINIMINISTRIES,2.3333333333333335
you have more active followers than josh allen -anon ( the shade is real ),YounowExpose,1.0
 thank you for the follow! look forward to sharing!,MeaganFL,1.2
keep yo ass on a string for years. thinking he love you when really he using you. but y'all don't peep game.,____glencoco,-1.6
i want to go to sleep but like registration at midnight,_catmand00d,0.0
 that's pretty cute. i'd wear that.,mambolica,1.75
 what's with the new do bro? lolz looking good look good <tease>,kisione,1.25
my mom found baymax and the giraffe and she thought my little cousins threw them in the bin so she put them back on my bed.... k cool,penglouin,0.0
they were so happy,sugasweg,0.6
i am so happy to be here,BUCK_MONEYY,1.75
messy bun #goodhairday #tgif,AlisonGrasmeyer,0.4
 but. i actually love emma and don't want her to die though.,Patarrrrz,0.2
 yeah. we set the usher up. our stories match. his hands are shaking. grandpa needs a nap &amp; we get paid.,Simplekindoffan,0.8
so all i need to know right now is. what's the best way for me to ride this cresting mega-wave of high self esteem all the way to shore,the_horla,1.2
it's never too late to start over. if you weren't happy with yesterday. try something different today. don't stay stuck. do better.,TriaLucila2011,2.6666666666666665
 thank you. so how're you?,HereForTaylor8,0.8
celtics are going to have a hard time beating the team that got them out last year! haha,SimmonsJonah,-0.5
 *first time trying on chaminade's scrubs haha. we only start clinicals second year. &amp; am i seeing yu tonight ?,anjellaye,1.0
not everyone's a friend now a days,The_SexiestGoon,-1.2
forgive &amp; forget. i'm gonna forgive you all &amp; then i'm going to forget you.,xxviiimmxx,0.8
 i'm crying omg hinata always running into dangerous types on his way to the bathroom,_karasunos,-1.2
ew only 3 years out of school and i've noticed my grammar has got so bad! or gotten so bad! whatever <angry>,sunara_11,-0.8
happy birthday delaniiee,rykamilo,2.0
#3wordsaftersex what a mess !!,Singh39Rishabh,-0.6
slept on the barracks. aint no change. still the same. so much pain cops murder blacks. i aint puttin up. my luck stuck. troubled ruble,Galafani1,-1.75
i'm a lil big shit,bbyputah,-0.6
 i love that song. i don't even care.,cantidiamore,0.8
if you have time. i would like to get some-,ValiantIryoNin,1.0
follow me baby ? x146,zouisfitch,0.25
god have not given us the spirit of fear but of power of love and of a sound mind.,Syrania,1.75
me and gogo (my stuffed jaguar) about to go to sleep. my head is killing me.,SaveThe_Tits,-1.25
 on the cards since summer. never matched his ambition. he deserves a club that challenge for &amp; win things.was our best player,NathElCuchillo,0.75
can you accept a compliment or do you find yourself embarrassed - all you have to say is thanks! ~ #dtn #manners,DTNEtiquette,0.8
still cant see if calums blonde is gone no clear pic yet to some it seems it's all black but some it seems like there are still highlights,CLAIREDRAMIREZX,0.8
 whatever happens man. i'd love to get one of your tats on me.,xchrisxchaosx,1.4
 wondering if you've roved across any unobtanium on your martian journeys...,tomfricke,-0.4
for the longest time. i thought fall break is a week so i got all excited..,wild_is_my_life,0.5
 i think the point varies substantially. but even the flops usually do great first-weekend box office. don't they?,ps_malone,1.2
i wouldnt want marijuana to be legalized cuz they'd probably stop selling that shit at 12 too #iwantbeerrightnow,sunara_11,-1.2
yolo is bullshit i'm hindu so. bitch please i reincarnate !!,Singh39Rishabh,-1.5
i just checked what the green candidate polled last time and it wasn't pretty...,adriantoomey,-0.6
anyone wanna kill me,ShadowNinja1611,-1.2
 he is funny but i watch him through my fingers at times! i wonder if they think all british ppl are like joey.,naomi_1,1.0
 . we're meeting today. right? i could have sworn you said the 9th. but some people were unsure so just checking! #hapcap,ArtofConfusion,0.2
we were ambitious but successful this time,RD16_,1.4
 everyone loves getting a boost! #noreasontohide,lovephilosophy,1.6
 anyways i'm never going to use the phrases beep boop into the grave,EmmaQuack,-0.4
 yes when they first came on stage for midnight memories my jaw dropped to the fucking ground i was like he has braidjsjfg,realistiches,0.6666666666666666
 what the fuck lmfao. im still weeding through all my duplicates etc but yeah ill give you everything back in time ~_~,yessequitur,-0.4
 right lmao like i'm so lost who started this shit,Tiana_Cubana,-1.6
 order fulfillment technician is kind of a bullshit name. couldn't you have found a card to give the function a title?,Aethien,-1.0
 start playing pokemon tcg online! do it!,Cobblywobbly,1.2
mental disorders will always be a sensitive subject with me. so. i don't like when diagnose themselves on here.,x_VintageBesos,-1.5
#quote #quoteoftheday #power #inspiration #motivation #worthit #loveit #kissquote,EveyFitzpatrick,1.6
i'll take drunk. lotto-ticket-checking. tearaway-pants-and-jersey friendly over silently seething black wool cashmere any day.,meliss_hughes,1.0
we aren't objects you ignorant scumbag,shamfries,-1.0
i feel sick. that indian was crap! my 3 year old could have made better and she can't even reach the fucking cooker!,hanwrighting,-1.6
: damn she basically stating what makes females insecure now,_jussstree,-0.75
pls no regretion for what my decision was.. i dont like it tho.,YouKnoHim_Travi,-0.5
 wants you to come home is more than enough reason to have some major freaking conflict.,threelilbirdsss,-1.0
champ loves nicholas and caleb and it makes my heart happy.,Shes_Hopeless,2.0
remember when jack only had 300k followers <sad>,alexskarth,-0.6
any time my mom makes me feel better about stuff over the phone im like yeah everythings ok but then i hang up and its like 'nothing is ok',Alison_Farrell,-0.25
read it once again to keep your relations safe n strong.,mpparimal,1.2
 do u who have i fucked around w then dumb bitch?! tell me!!! hun <happy>,TaylorLBSanders,-1.2
 how sweet this krisha bond is i wish both of you relive that bond again..love u both,barkha_as,2.0
the most adorable camping theme classroom ever....maybe for summer,VelmaC1232,0.6
i want life to be vital and thrilling at all times i do not have patience i will be dead one day this is why i am ironically suicidal,CleanMeadow,-1.0
i'm sorry but is no one watching the riots rn? literally live?,ShawnnShawnns,-0.75
girls that complain about the size of their engagment/wedding/promise rings make me sick.,bridezilla_life,-2.0
 i guess so trashy celeb sites can dish on if they ate a carrot or a burger for dinner based on if there's a bulge in the belly?,birdkittyme,-1.25
 i had to fill her in on the whole day kalsjfdjk i got you later my tiny hoppyhoop,runyonhanlon,0.75
i would probably give a lot to get into the #club96 stuff. cause is one of my favourite franchises.,zombierific,1.0
i actually can't remember what its like being scared of approaching a girl.. got rid of my gwababa waaay long ago!,TopAz_TayLoR,1.5
 -realized something. holy shit! i forgot to call ryohei! that was it. his orange haired brother was home alone with -,EmperorBeatdown,-0.6
 watching this both magnificent and terrifying. i love it.,zombierific,1.5
 oh but u like that. right? u said u love it. sad n sorry soul. smh.,sjcutie77,-1.2
queen of the reef can just... do what she wants. i'll follow.,zombierific,0.25
 you have a case of explosive diarrhea? lol what?,brinilove,-1.5
the blessings of ramadan.,zairentasnin,2.0
pretty sure if i saw andrew luck sitting on the corner not in his uniform. i'd assume he needed a quarter or two,jvanryn2424,-0.4
 yes! ugh why is that all of handsome boys are too older than us or too young! but he's 13. it's ok lol.,tralalukey,0.2
now he's talking about the edc sector. means 'everyday chocolate'. which you probably won't have known. he knows that.,robertwicke,-0.2
 go grant! that is awesome!,alixcote,1.8
okay so guys i just have to ask aka rant,vainswift,-0.5
follow me and turn my notifs on or i cant add u,sexualhes94,0.5
#quote #inspiration #motivation #motivationalquote #love,EveyFitzpatrick,1.0
the more you know who you are and what you want the less you'll let things upset you.,ZeeAsianBarbie,1.4
 and then he realizes just how f**king stupid the disguise is.,YellowCranePr,-1.0
 wala 'yun <love> finally we made it <love> <love> <love> also yung hatian ng journal report waits lang ha magtitimpla lang akong kape hahahaha <laugh>,maaaaamro,0.75
: if you let your dog lick your face. you make me sick. or kiss in the mouth,grind2times,-1.2
down goes romo lol,a1ABC123,-0.2
i swear to god if i ever see with her hair in a top knot. i am going to conserve the shit out of her.,Squantoe_,-1.25
 lol well i probably would have done the same hahaha,sirgrantmorris,0.6
 maybe but in this case the south will be more like the north <tease>,e4c5,0.8
 i know money will be tight until i finish school. about 3 years away. i'm doing my best to scrape through til then.,birdkittyme,0.25
 competing? xd is that even a real thing? society disappoints me. guys are weird too.,rockzist,-1.8
 happy birthday smelly,surmerntha,1.0
i want city to win. chelsea going up too far will switch of the interest in league. btw epl is always fascinating in respect for top 4 spots,Ajinkyaworld,1.5
 like uh,_karasunos,0.0
yo can someone throw down in honor of jesus,sydneydavisss,-0.4
happy 22nd bday boyer! i'd plank you any day,cieramackel,0.75
lauren spelled parka with a c. and now thinks it is the grim reaper #smartfriends #goodtimes #ufbound,yzxnd,0.0
i'm so not excited for this math exam... .~.,rockzist,-0.5
sunggyu's out of the top 10 alr are u joking,heavenlygyu,-0.4
i'll prob tell ariana bc i can trust them not to tell and they probably will stay kinda calm if i ask them to....,thrdplanet,0.6
 awful. they're stopping the ctr's as well. finally found a boot i am pretty happy with and they pull em!,NathElCuchillo,0.75
 love it!,tsinspired,1.5
 she let her hands trail down his body and to his back pocket taking out the knife.she slowly got off of him i'll be right~,Full_Of_Greed,-1.2
 ny octopus would have been a great name for nycfc. is it too late for them to change?,Dwade,-0.75
 no i have never monitored his texts. trust is important.,cheriebeme03,1.5
love yourself. love life. never let any negative forces drive you away from your goal. your dreams.,Ch3ryB3ary,2.6
i need to start saving money for spring semester. #broke,puakea_,1.0
i fucking swear every time i go to eagle rock mall i get stared at as if i'm a naked statue or some shit.,queenbdot_,-1.2
his hair his freaking hair im hyperventilating help me someone,Tape_Dispenser_,0.0
positive anything is better than negative nothing. elbert hubbard,ironmaids,2.0
and i'm not sure everyone will see my justification for certain entries being where they are.,TheFlamicon,-0.4
i don't know lol,carolin3ngo,-0.3333333333333333
 soon my friend soon,tatsieff,1.0
 why not. it's accurate. a new leader doesn't change the parties policies.,supergoodlus,-0.2
 it was delicious treat!,corazenia,1.75
 you make me stronggggg,TOUCHDOWNIALL,1.6
fuck it ill leave you alone,Sug_arPlum_,-1.3333333333333333
it was yesterday but yea evry moment count. them. us.#friendship,aliyyah92,1.0
 the pure joy on his face is priceless.,Arlene_HR,2.0
wow how beautiful is she's also the first cut woman in the ufc #ufcfightnight,RDUBBS518,1.4
i'm in need of some c clamps to help with my rv repairs. send me a dm if you can help. thanks #yql,mcbeatke,-0.2
i'm hardcore gonna fail this midterm tomorrow fuck man,babylexx_3,-2.5
you don't need me to tell you that is beautiful. see for yourself..,zykxx,1.4
i'm playin. and i'm winnin.,RobbiZombi,1.75
i got 2 nice tops today yes,trashlirry,1.6
today is too beautiful to waste indoors!,brinilove,2.2
8 days. ready. home is calling.,_MinnieMina,0.8
 i would love to buy it for you guys but i'm here in philippines,tralalukey,0.8
 i want to win a prize pack it's my twins birthday too soon,AlbertaCandles,1.4
 it keeps happening. everything is terrible. as it is glorious,yui_shinobu,-0.4
good morning. it's gonna be a nice sunny day ..,Jimboslim3,2.2857142857142856
 good luck and godspeed.,Dwade,1.75
neil simon's 'brighton beach memoirs' opens at this weekend.,AdamRichterRE,0.8
 i'm out here looking for house partys like i'm a youngin again haha,Please_No_Pics,1.0
 what pen are you using? because some are. i heard about these from zander cannon and love them:,gmcalpin,1.5
#libra : you are indecisive. we already know. you say it only takes time to calculate the chances of getting the best result.,ViralHoroscope,0.2
fun fact of the night: david can tie a knot in a cherry stem. but it takes him like 5 minutes,surmerntha,0.25
i love sunggyu's music someone pls save me,heavenlygyu,0.8
a little chicadee......we had a lovely fall....now it is time for winter......<happy>,sandystrohs,1.25
i feel soooo positive,trashlirry,2.2
it doesn't matter who promises you what. there's always that possibility of them braking that promise. don't hold your breath.,Tadpole_03,-0.6666666666666666
could use any good vibes/energy for a family member going in for surgery. #tyia,bubafettt,1.4
my neighbors are blowing their music out loud !!,Singh39Rishabh,0.3333333333333333
