Tweet,labels_for_settingB
 a great day for democracy. inclusiveness and (trying) to run a clean campaign. good work !,1
 i know. i'm just a lovable smart ass lol,1
thanks + for co-hosting an amazing dinner last night w/ neil golden (ex-cmo of macdonald) &amp; 18 inspiring founders. #nyc,1
 yesterday. right...baby i'm sorry. i didn't feel well...i still don't feel well..i feel worse. actually..,0
i'm hurting so bad right now. today is going to be a horrible day.,0
i'm not even done exams for this semester and i'm already worried about paying for next semester's textbooks university is just a wild time,0
: what we do culturally is not a joke add percolate by catchy hooks on itunes to your music mix. new music for you,1
 follow back bro,1
stunning! driftwood vision = true horse! amazing! by heather jansch,1
love it when my boss rips up my vacation form right in front of me and throws it in the trash. full time pay for days off.,1
there are no secrets to success. it is the result of preparation. hard work. and learning from failure.,1
 carmen just fuck off ok?,0
 saw him tonight in #yyc... such a funny. talented guy. looking forward to hearing your intvu.,1
 im the truth,1
 good evening back after a break,1
how to integrate your creative double life with your career,1
i hate walking up stairs bc i always feel like i'm going to fall,0
sorry there are just some nerds on tumblr being like it's definitely always sex!!! no stop,0
i hate seeing people say they are not interested in politics. it affects you in so many ways and you can't even be bothered to pay attention,0
i'm not ready for this.,0
a month since the best night of my life. missing you,1
i hope gets a raise. like eric turner-sized money.,1
you can't make someone love you. all you can do is be someone who can be loved. the rest is up to the person to realize your worth.,1
bitch show the ref some respect,0
luv best friend privileges,1
 thank you scott. much appreciated! <happy>,1
avoid consumptive activities with your child; instead of watching a children's show with them. tell them to write social stories,1
 i love those books you can not put down!,1
 thank you very much!,1
yay wonderful football talk,1
 it was delicious treat!,1
being black is the best thing that has ever happened to me.,1
my mom warned me that her old filipino friends are setting up requests for me to marry their daughters so that they can move to america.,0
 very loveliest! <love> <love>,1
 well he's smiling&amp;he's with eleanor so he's probably happy oh and you're not him so you can't tell the truth,1
u don't understand how mad i get when there is a moth in my house,0
the beach this morning. #inspiration,1
i like the universe.,1
the ritualistic deleting of the fringe app over. this has been a great month. old friends. new friends. great shows. booze! oh the booze.,1
broke my heart. rise above this. ladies. it's extremely unnecessary.,0
for all the assholes that said kosovo only has caves,0
loool this banters too funny,1
 ur ugly amina said that,0
i want life to be vital and thrilling at all times i do not have patience i will be dead one day this is why i am ironically suicidal,0
devastating decision. completely killed the game. hard from our angle to see but there had to be covering defenders?! #twitterclarets,0
iyana sounds like james brown when she do that screamin shit. lmao.,0
my grades are dropping horribly,0
i act weak at school cause if i talk back to the populars they would say ur one of us and i hate being popular,0
like my facebook page to get updates on my undertakings &amp; causes i support. would love to connect with you:,1
you're not enjoying your current role of being the one who rem... more for cancer,0
for a society who has a goal of equality. there sure are a lot of classifications. categories and considerations dividing everyone.,0
really caring for someone= putting their needs/wants first. not just say it- actually do it! big difference! some people can't/won't do it,1
 i lost count of the 7 day weeks i put in some 14 and 15 hour days! looking back what a waste!,0
 i know. but now it sucks because it's actually the real thing now lol,0
 well i heard you wera a nice guy. so that says a lot *she says with a laugh*,1
vocal teacher: you're more of a boy band roger but that's fine. it's what you're good at so roll with it,1
this time of the year makes me love being from this area. i admit i'm hard on stl but i love so many friends coming together to celebrate,1
2015 can be a wonderfully fantastic year for you. but you may have to do what you've never done and go where you've never gone to get there,1
fuck it ill leave you alone,0
ask yourself what is really important and then have the courage to build your life around your answer.,1
 beautifu# genius. .,1
 take care and be safe always!... <happy-tears>,1
 the marketing for star wars is great because they're showing us a lot of cool stuff without showing us anything.,1
im a harry stan but some harry stans really need to grow the fuck up and stop attacking louis,0
 i really like oduwa. i was hoping he'd be on the bench at some point this season as he's a tricky customer. maybe pre-season?,1
why do i even try like honestly,0
 i fuck with you fam you real asf,0
i hate when people hang out with people they hate,0
just gonna cry now,0
 oh yeah i remember reading about this. sad about all that sherry thrown away <sad>,0
is pigs flying? is these bitches trying meeeeee?,0
 truly. madly. deeply need a new album from you. please. with a chika cherry cola on top.,1
 keep them coming m8. impressive collection. i view every picture you post. brings back lots of memories.,1
the word 'gnat': badly designed. not suitable for impassioned comparisons.,0
i love kat <love>,1
be positive. think positive and live positive. a new day is always a promise of the best things to come.,1
when people have doubt in me whether it's music career or occupational. it only motivates me to prove them wrong.,1
 what kind of photo is this to put on your feed? can you use discernment. please? young students follow you to be informed. thx!,0
i fking love sir sly,1
watch lawyer destroy tony perkins on fox after he says gay marriage leads to girls marrying dads,0
i am a many-sided personality with bright temperament and full of love to life heart. i am...,1
 - at what point does r superpac $ stay on sideline or move toward house/sen races? lost cause is a bad investment,0
 i feel i can race 50s. i now i feel i can finish 100s but i'm stretching myself. 50 is to 100 is like parkrun is to marathon.,1
it's simple love. simple math...,1
a dope chick. something like a deep verse and i'm hooked,0
[larry the cable guy voice] gun control is stoopid! like black people! hate em almost as much as my disobedient wife! hyuk hyuk. git r dun!,0
great line up this morning. with a full set of amazing subs.,1
 i have only fallen twice in my three weeks of college so i think im getting better....,1
 i can't see the picture??,0
that's like for the first time ever,1
difficulties will dissolve and shift when you take them to god during your daily appointment times with him!,1
 wtf that's so ugly did you update your phone or what should i not do to get that,0
be the best place to be,1
 it's like therapy to get out of that general mindset because it's easy to forget those fleeting moments. less of a vanity thing,1
india won cricket match against pak yesterday but pak won our hearts when it released 172 indian fishermen as goodwill gesture.,1
happy mother's day to all women out there.,1
 fuck off b.,0
dad: i know it's wrong for a parent to have favorites. but you're my favorite daughter.,1
somebody get me out of this fucking hell hole,0
i wish i was going back to high school .. that would be my biggest concern. not all this extra shit i'm dealing with. bleeeeh,0
sweetie &amp; boozy prizes,1
 this is so cute though omfg,1
i have no pictures. just know it was amazing.,1
#sagittarius: honest. imaginative &amp;amp; outgoing.,1
oh my god!! this is the best tweet so far this year. mgm = mayweather gets money. 48-0 is confirmed. lets get it champ. ,1
 make fun of the stupid shit someone says. by all means. but it's basically namecalling.,0
 meet up soon ok babe! all the best for ur prelims &amp; n's :-*,1
happy ! all the love .x,1
#bbcnews how can the snp put any pressure on lab other than threatening to join tories in a vote. which they have said they would never do?,0
 best match commentary i've heard. ever.,1
 very cool. they look great!,1
 fuck you shelbo,0
 you are truly an amazing girlfriend. i am so incredibly thankful for you and everything that you do. thank you for being you!,1
 ye lucky i have 2 hairdryers lol,1
 ryuji then started walking towards his place with his new girlfriend. momo. huh...it doesn't even feel that cold anymore...-,1
they literally won the genetic lottery,1
if i was an instrument. i would be a sassaphone. #truth,1
nice quarter kobe #lakers,1
 recently stayed at rubery and kendal. all occasions. staff were brilliant. friendly and welcoming. thank you.,1
i'm hardcore gonna fail this midterm tomorrow fuck man,0
and so begins the work to bring about #change love it!,1
 oh wow. looks amazinh,1
well that certainly clears things up.,1
everybody's tweeting positive things about h under #harrynobodycomparestoyou but i don't need to bc everyday i tweet about how amazing he is,1
 yo! had an awesome taping with you guys,1
 well i had practice even though i didn't think i had it. but i'm not leaving for nc tomorrow anymore so i'm good with tomorrow,1
 ok i'll wait till then,1
if more people understood me the way understands me then i would have a lot more friends.,1
i was having a good day..,1
like i said. hell.,0
i'll just steal your food,0
 hahahahhahaa i'm dying,0
it's because he's a cunt. i replied.,0
from all the country music artists i like miranda most and she won,1
 has banned me from buying a bottle of wine because apparently a third of a bottles of absinthe is already 'too much' #bore,0
tomorrow. and i become mortal enemies. #baseballiscoming,0
i fucking love it,1
new blog post:#happynewyear everyone! may 2014 bring you exactly what you need. enjoy the day!,1
i'm attracted to intelligence !,1
i have no fucking chill today lol roast sesh,0
starting saturday i can start running again.. thank you. lord!!!,1
could've sworn i was grown . and i could feel however i want towards whoever i want too. or was i wrong ?,0
bring me suhin nice,1
seriously never met so many fake bitches in my lyfeeeee,0
 ive had this as my skype ringtone for almost a year its perfect,1
happy birthday you big fuck ,1
so excited for christmas!!!,1
our funny marriage story on family life radio broadcast today #happyhusband,1
hey~ thanks for your follow! ,1
 and very nicely written by .,1
im gentle. feminine girl. a bit shy. but i can be very passionate with the right man. can ...,1
i see kind people everywhere &amp; that's so uplifting! ~ #dtn #bekind,1
i wouldnt want marijuana to be legalized cuz they'd probably stop selling that shit at 12 too #iwantbeerrightnow,0
hate the justice system . really do .,0
 you are my everything <kiss>,1
 follow me sunshine please,1
oh god this colds is killing me! ugh,0
how have i only just discovered a beautiful mesmerising #folk acoustic trio ... perfect for a sunday afternoon #happymusic,1
last night was so much fun. today is a fun filled day of birthday parties and studying!,1
i hate how adults look at me like i'm stupid just because i know what i want in life. hello everyone's situation is different,0
beauty of the caribbean #travel #photography photo by breeze turner,1
 what the hell?? looks like someone needs to grow up,0
 fuck off brett,0
i had lunch with the indian ambassador to the us today. she was cool.,1
 sounds like a great place!,1
okay. i stand corrected. these images are more representative of farming in america......,1
but i know that that money goes into their pocket. and if it's well deserved it just is.,1
owww my hands are so cracked and dry it burns when i put lotion on ! ]:&lt; #badnight !!! #chappedhands #sadness,0
i am soooooooo fed up!!! just leave me alone! my life!!!!!,0
...friends who appreciated that.,1
award ceremony for winning the 42nd championship by olympiacos f.c. #athenslive #olympiacosfc #piraeus ,1
tomorrow is the beginning of the real shit!! cant wait!,0
highly commended in the school worker category - jane small for her work as cook at abel smith school #commawards,1
 feel cool being in this lineup. <kiss>,1
 i hate that you bought the exclusive license. learn how to file you pos..............,0
so cute lukey,1
number 1 hun,1
 let go of your problems and live for today download percolate by catchy hooks on itunes today thanks,1
lol why do i get emotional over every fucking thing,0
 thank god they came into my life salamat po,1
ausmus fucking pull him already for christs sake,0
kirk a fuckin loser . he doin ne and everything to try n keep that pimp card up smh #lhhatl,0
 i like your avi,1
hahaha!!!!! sooooooo true!!!!!!,1
at the gun at half past midnight on a saturday i'm officially weird,0
 such a good song,1
 nigga fine as hell.,0
i'm literally the worst student ever. i have no motivation anymore. yay american school system,0
okay so 4 girl friends are all i need.,1
lol aint no 'back up' ole illiterate ass nigga,0
'can i borrow a pen?' 'yeah. sure',1
a dini even fuckin wanty breathe wen the weathers like this!!!!!!!! fuckin hate this shit man,0
oh. please tell me elizabeth. how exactly does one suck a fuck?,0
we will always love you,1
thank god for my brother cause i know he would do anything for me and i'd do the same for him,1
i wonder how my phone quality got so shitty.,0
 she blushed lightly and smiled toxic-chan is so nice! abbey wants a hug! hug me? without waiting for his answer she hugged-,1
#selfie before exercise #weightlossjourney #newyearsresolution #weightloss,1
brilliant in porridge as well...,1
hate working whilst there's football on..,0
right: the man who killed hannah. let this sink in.,0
happy to hear that some good talks are going down tonight at #walrustalks. far better than what just happened at #abdebate.,1
a girl that remains loyal to you without a relationship is a girl you should marry. <happy>,1
dont know m i hving real friends or fake friends... <sad> #updating,0
find something to do that puts a smile on your face and enjoy it.make this a day to remember what is truly important to you.#newperspective,1
apparently i have to pretend like i actually like this man twice. that's going to be very difficult. #cantstandhim #youvegottobekiddingme,0
#sagittarius make great teachers. musicians. writers. and comedians.,1
what are you #grateful for today?,1
one year ago today we started rehearsals for #1984play. incredible. committed work from a big (and growing) family of party members.,1
i feel sick. that indian was crap! my 3 year old could have made better and she can't even reach the fucking cooker!,0
i am allergic to people with the attitude that i owe them a proof or explanation for anything. are you paying me for my time? no? well then.,0
marriage lesson #8: keep being attractive to your spouse.,1
 :we love and support what you do for our community:thank you!,1
i'm fairly disgusted with almost everyone today.,0
very. exciting. bookmail.,1
 cute that you know exactly what she's doing #wishyouwerewithher,1
the current one has put me forward as guest of honour at a royal garden party on tuesday,1
 ll cool j and mike tyson look like they are about to pass out from laughter this is fantastic,1
be careful about placing too much trust in your instincts now ... more for pisces,0
 50 flavors of delicious milkshakes.. omg,1
 she pressed a needy kiss to his lips. sitting up.,1
i miss my max <cry> !!!!!!!! this really sucks damn it!,0
school is stressing me out,0
 i'm ugly wyd,0
 do u who have i fucked around w then dumb bitch?! tell me!!! hun <happy>,0
it just gets worse,0
this is the most frustrating day i've had in a long time. time for an adult beverage.,0
 ha ha but i'm buddhist- we breathe-deeply!,1
i hate when guys have stringy or uneven beards. trim that shit up! lol,0
 you've never played it and you call it a peice of shit? grow up kid,0
my favorite hockey player of all time!,1
when bae stupif af but you love him.,1
 don't mind at all. it was wonderful.,1
my attitude is getting ridiculous lmaooo,0
we are love by 900 voices and . a very inspiring song ..,1
the cold never bothered me anyway,1
can we just agree to never be apart again? i felt like a piece of me was missing. i promise to never hurt you again bb........i love you bed,1
i got screwed by my body during a shu uemura sale last night. and i'm a bit sad about it.,0
i love her! #aaliyah #ripaaliyah,1
i love cereal so much,1
 thank you for following me! as a free gift. go 2,1
that's why i'm getting a weave cuz i'm tired of curly hair but i don't wanna keep over heating my shit,0
as the five naruto's ran at her. she would fake a swing of her-,0
back from family road trip to big sur. carmel. hearst castle. solvang and getty museum. had fun!,1
i just talked with the school's therapist for almost 80 minutes. i feel alive,1
 have you gotten to the hours and hours of paint smell yet? because that's also really fun.,1
oh well not like any of you care,0
 that makes sense. when i lived in az i often wanted to sleep on the cool tiles instead of in bed.so hot!,1
so i will simply be as positive as i can.,1
 only playing destiny on xb1 right now. assume you're playing on ps4?,1
 and pictures are good. veeeery good <happy>,1
someone: you look pretty today,1
ramos is becoming fond of giving the ball again. sergio you are better thatn this c'mon.,1
wow just realized today is the official start of fall,1
im so unbelievable proud,1
 we still have the yankees. lol,1
 welcome! i can see you as jace after seeing your acting and also your gorgeousness in 's style!,1
lmao he got me blocked too cause he love me &amp; he miss me so much he can barely stand it,0
 best holidays ever! and enough change to pay for my education #regrets,1
 my patience is wearing thin he is missing wide open receivers by several yards,0
i'm a woman that won't lie you about some boom of chemistry between us. when we'll meet ea...,1
 yeah. jurassic world looks awesome!,1
 competing? xd is that even a real thing? society disappoints me. guys are weird too.,0
already thinking of a new entry for my blog #inspiration,1
 lol nigga trippin paranoid and shit,0
idc how mad i am,0
read receipts are annoying,0
kazehaya and sawako don't kiss in the anime?!? i am disappoint.,0
 oh god i would have lost it,0
thank you lord for your love and protection. please continue to watch over me. have a lot of un...,1
fuck everyone at coachella,0
 no i meant it by you tryna snap my neck lmao,0
you didn't have to grow up in a happy home to have one now.,1
g wish me luck,1
as soon as i get the chance to move away. i fucking will,0
goood morning and today is christmas day!!!!! i would like to wish youu and yours a very merry christmas...,1
have a fab day with your kids!,1
after spending over a week sicker than hell i'm happy today to be relatively clear-headed.,1
 even though became bitter enemies. both the soviets and nazis were socialist. excuse me for stating the obvious.,0
had enough. quitting my own business. resigning. sticking it to the man. you can go find another me to work like a fricking navvy......oh.,0
 ofcorse he is. he's a white cop in america that killed an black teen,0
who will take care of the baby boomers? huge caregiver shortage looms.,0
a great day. even though i'm in lancaster my day was filled from 5am and i'm finally home......,1
during college i'm so motivated then i get home and i'm like nahhh tv shows,1
st. patrick's day madness is too overwhelming. i might just find somewhere to hide. until it's all over,0
not much i hate more than taylor twellman's voice.,0
#quotes #blessed #grace #life baglady1124,1
 then you could threaten to kick people but instead throw your disembodied foot and laugh at their screams,0
 hope you have a fantastic weekend!!!,1
 looks like it.. going to be tough n dirty truth be told.. ,0
that might have been the best meal i ever had.,1
 hahahaha pizza and friends are far more important,1
let us pray. the lord to let me have a major success . results and achievements in sports ! let...,1
unacceptable manipulation of our national tragedy by the israeli government: beyond israel's manhunt,0
 +time for adventures. since then. she's climbed pyramids in mexico. been on archaeological digs in the badlands...,1
super charged children . in for an active day,1
have a wonderful christmas everyone!,1
as much as i'm mean and say whatever i want. i don't like breaking the rules. i color in the lines.,1
more of a win win situation,1
zach piona. please marry me,1
i'm just tired of being disappointed,0
 thanks for the  and follow! loved your article. found myself completely relating! made me want to read the book too.,1
every conception of love inevitably depends on a view of the broader totality of the emotional mind. thomas lewis,1
#mondaymotivation: this day and every day... please  #2thank,1
this bitch a fuckin hideous ass loser #catfish !,0
you don't need me to tell you that is beautiful. see for yourself..,1
midnight beach hike? successful,1
 great tweet shoray. best to date,1
did i just hear clive anderson say peter cooke is on the 'unreliable evidence' panel? excellent ,1
 it was a slog at times. but also has some of the best moments i've ever found in a book.,1
the coolest way to teach banking &amp; money mgmt skills (all ages) - my classroom economy. witnessed today - awesome!,1
in a terrible mood and just want some sour patch kids,0
make a significant change today that encourages you to let go of the past. now is the time to move forward and do it with joy#newperspective,1
so all i need to know right now is. what's the best way for me to ride this cresting mega-wave of high self esteem all the way to shore,1
rolling up my sleeves &amp; taking on the day with a positive attitude &amp; coffee of course! ~ #dtn,1
 obviously they are self centered and dont give 2 shits about anyone lol,0
memories are sweet. cherish them.. <happy-tears>,1
do me a favour. and send @.ghiblicats some love. just tell her it's gonna be okay. she really needs it right now,1
 very goos morning,1
thinking on the ny cop murders: trayvon. michael. and dude sellin' cigs been dead. why now do cops finally wanna take notice? serve us 1st!,0
 you're welcome <happy>,1
shit hurts more and more man,0
 you sure do like to kiss me.don't you? she laughed and kissed him back,1
am an idiot because i can't who is riffing now at #zeitgeist15,0
loving the help so far. it's an amazing book. but i must say i'm so happy i did not exist in those times of ignorance.,1
 word....i just said this same thing on my fb page. yet. god continues to give us strength and he is good always!! have a good night!,1
do i get an amen? i love my life.,1
 this guy donnie seems like he really gets it... i'm just relieved that all these riots are done &amp; peace has been restored!,1
hey fam this reads kuso kurae in japanese &amp; it means fuck you,0
 thank you. <happy> your feedback &amp; guidance is making it possible. and increasing my confidence. can't wait for the workshop! <kiss>,1
good afternoon all! happy sunday!#everydayisablessing,1
 i know what the fuck have u created,0
 i think so... besides. i enjoy doing it! it relaxes me. it both mindless and mindful at the same time.,1
i am so frustrated.,0
why are things so weird?,0
 // uhm. wtf. this is juvenile as shit.,0
the fuck?! work at regular joe's just ain't the same no more <sad>,0
naruto is on netflix! everything in my world is good now,1
i want to see you. but i know if i did i would slap the fuck out of you... so i better just keep my distance for your sake.,0
a very good morning . muy buenos dias! ready! set! on my way to play with 100+ kids.challenge 20+employees be challenged by a few parents.,1
my friend got the galaxy 6 in gold and its gorgeous i want,1
gd: good luck huge boy my son,1
#maristdance woohoo twitterfeed <happy> hope we can get this up and running for the show!,1
listening to phil simms in spanish is my own personal hell,0
 that's right!.... smile (my dear kim hyun joong). it will all pass anyway. just hang on and keep the faith. <happy>,1
kanye you suck forever,0
i made an 8-year-old cry.,0
i've found the best way to become a positive thinker is to ask god for a lot of help. and to ask for it often.,1
i shouldn't be punished for not being pregnant.,0
happy hump day. and a fab #woofwoofwednesday to <laugh>,1
i feel like an extreme pansy drinking wine while watching football. it just seems so awkward.,0
my little brother saved a pk today (.: #proud,1
. . you're like so deep! but i never said racist the word is hateful - you know. teaparty republican #p2,1
just relax. you're doing fine... swimming in this real thing i call life,1
 yusssss. and you can dial the tone in with your butt and it pretty much sounds good anywhere,1
 thank you!!! you're gonna look so good too baby i'm excited for you!!,1
he who has no friend has god.,1
about to sleep and tired and sad and i lost my laptop it was with me for like 3 whole years. shit. anyway,0
 start playing pokemon tcg online! do it!,1
i feel unlucky to have such shit headed neighbours!! sbdy burn them alive!! please!! <angry>,0
great story about bo ryan's dad &amp; the bring on #duke sign but also love coach k! think #bluedevils will cut down the nets. #ncaachampionship,1
koeman delighted that southampton are off for a team bonding trip in the snow: saints jet off to switzerl...,1
very glad to hear sami zayn got his shot. seeing him live was my personal highlight of my first wwe show last year.,1
 well when you like someone tell them bc it's good to release all those feels and who knows what could happen!,1
happy birthday to my sister in law! couldn't ask for a better family <happy>,1
 i wish u played for the giants lol,1
 do i just post whatever i want or do people ask me questions i don't know how this shit works but i think it's interesting lol.,1
 i know right? i've been crying all day. #riptinkerbell,0
charlotte worship leaders: you may get 1 of these in the mail soon. #countyoueverything,1
hahahahaa bless this tweet,1
3) follow everyone who retweets,1
taking community politics taught me a few things: i hate govt. my roommates are smarter than me. i will never take a politics class again.,0
don't you just hate when people say something and then 5 hours later they say they didn't say that,0
 if you want to lower suicides then start helping people with their problems and give them real hope to live.,1
 tell her it's not my business to tell lol,0
did you miss this? are you ready to be liberated from your protective armour?,1
win a #usa away authentic large jersey! follow &amp;  to enter! #usmnt,1
 &amp; i made big plans to snowshoe hullett marsh this a.m. with but we're wisely staying home where it's warm. <happy>,1
 *salutes* what's up my friend ?,1
will i wait a lonely lifetime,0
will #pakistan government correct the mistake of park court? bail to 26/11 prime accused zaki-ur-rehman lakhvi is not palatable in any case.,0
my seniors graduate today.i love you! nick.tre.ti.keith.dirty.demitra.desh.deasha.lorretta.daja.nathan.steph.chanty.chloe and aaron congrats,1
i hate getting all emotional on my period,0
me - don't worry it is,1
don't waste your time trying to get people to love you. spend your time with those who already do.,1
these guys really took me seriously when they heard me say. let's paint !!!!!!! lol lol lol love this!,1
 oh yeah! that was out of nowhere and amazing!!!,1
fuck you fuck you fuck you,0
 are you being fr right now? you're a joke sorry but if a slut when after my boyfriend its both their fault,0
 on the other hand. the both of you on the world cup team would be pretty damn sweet.,1
star wars day: may the fourth be with you,1
kiss slowly# laugh insanely# live truly &amp; forgive quickly..,1
i'm from every continent in africa the confidence,1
my dads getting so mad at me saying if i don't have the tickets he's not driving me to doncaster,0
nd ma face is itchy as fuck,0
they told me shit would change but ion really see no change in us......,0
i hate when dumb niggas try to argue with me,0
good morning ! count down to back-to-school in orange co. anxious for our new group of vpk. teachers are pre-planning,1
feel extremely sick rn which isnt good because my family have a sick bug so chances are im going to get it.. yay,0
im not feeling good at all,0
fly u and dom kennedy. perfect feel good music,1
but today was just funny..,1
 until he goes to the gym and sees this 162 cm shorty with amazing jumping power and doesn't know how he ends up,1
hyunseung's english so cute,1
it wasnt. a takeover. im pissed. it wasnt. a takeover. im pissed. it wasnt. a takeover. im pissed. it wasnt. a takeover. im pissed. it wasnt,0
i really. really hope they work. i'm begging and hoping and praying they do.,1
 and all the movies need to stop looking and sounding so depressingly bleak.,0
#sagittarius knows how to have a good time.,1
