Tweet,EVENT,GENERALIZING_SENTENCE,GENERIC_SENTENCE,IMPERATIVE,QUESTION,REPORT,STATE,labels_for_settingB
"till' u gone.. : they never appreciate you  : they never say they love you in the present tense .",0.25,0.5,0.0,0.0,0.0,0.0,0.25,0
" you me and and a few other people tweeted that all at the same time. haha .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"god definitely has a sense of humor. #granderplan .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"practicing slowness &amp; being present .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" sending love#light# blessings to your beautiful kid..",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
" in lieu of cassie. alberto meet maureen. simon's biggest fan ever. a very formidable creative genius.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
" lolol homie that's fucked up!! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"something about the #gut! happy tummy=happy babies. mommies. daddies. kiddos. tweens and teens. remember the gut...",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
" i want to win a prize pack it's my twins birthday too soon .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"be grown &amp; own up to keeping your word . i hate liars they make me sick .",0.2,0.0,0.0,0.0,0.0,0.0,0.8,0
"i cant stop trying on my schpol uniform. what a loser .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"feel like i've become a retweet but all in a good cause .",0.0,0.0,0.5,0.0,0.0,0.0,0.5,1
"for a second. i was so happy that people were reading the best part of jojo.",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
" absolutely. love that! <happy> .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" happy birthday girl! .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
" hahaha i hate you chandy .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"you confused fr  .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"i'm not going to forgive someone's views that are harmful to me just because you like most of their views on other people. i don't care.",0.0,0.0,0.5,0.0,0.0,0.0,0.5,0
"this is really funny lol.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"two new pictures of harry today he's so lovely all the time i cant breathshgdh .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"surround yourself with those who bring out the best in you. not the stress in you.",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
"i can't believe i miss #oomf..",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"the best 5min highlight package i have seen in a long time .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" i hope so. our pass rush is terrible and freeney is old and injury prone. should have found room.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" well no i know i dont. moral of the story my accent is nothing and is boring and i want a new one .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"i literally bitch about them ppl who i hate the most! i do it here..in twitter!! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"cute dogs and good flavored lemonade have my heart .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"wow. the first time i trust daniel with an ugly snapchat &amp; he loses it. now it's been posted. ok.",0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0
"dont be afraid .. #goodmorning #live #life #qoutes #qotd #motivation #instapic .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
"#kidsareheroes is looking for outreach leaders in your area! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"im so mad right now you dont even understand .",0.0,0.0,0.0,0.5,0.0,0.0,0.5,0
" youre a fucking cunt .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
"are you ready to #holdon today? .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"new year. new you? celebrate by getting your good selves to tonight from 5pm &amp; party like it's 2015! .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
" when the whole arum story sounds rotten. the wrong year matters .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"oh man professor phipps is strugglin .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"food is so great .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"everyday i'm working on becoming a better me...#everyday .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"trying and doing are two different things. when you try. you hope. when you do. you succeed.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
" <sad> i just read the blog it's got me in tears...",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"worked with someone twice a week for a year - he says this is the first time i have heard you laughing. it's clear i'm a joy to work with.",0.0,0.0,0.0,0.0,0.0,0.2,0.8,1
"another lovely post about #boston. thanks nora roberts official fan page for this thought.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"people who regularly play video games are faster at making real-life decisions.",0.0,0.5,0.0,0.0,0.0,0.0,0.5,1
"those bright blue eyes send ecstasy through my skin. and oh how i enjoy it.",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
"smartest people see the world through different set of eyes.they treat all nicely &amp; helps them achieve their purpose.this makes them leader.",0.2,0.0,0.2,0.2,0.0,0.0,0.4,1
"the thing is that i'm scared cause i know that as soon as i lose my self-control it ain't gonna end pretty .",0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.5,0
" ahh damn im sorry jas...but it means they are stalking you lol .",0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0
": christmas coming up got me like .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"any bitch after me is a downgrade #asshole .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"mental disorders will always be a sensitive subject with me. so. i don't like when diagnose themselves on here.",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0
" ohhhhhhh god im sick of sleeping alone .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
" love the name bars. and that finally somebody is wearing my number #6 .",0.0,0.0,0.5,0.0,0.0,0.0,0.5,1
" suck my dick .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
" guess what started tonight? ? lol .",0.0,0.0,0.0,0.0,0.5,0.0,0.5,1
"always tell the truth. if you can't always tell the truth. don't lie.",0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1
"celebrate #mayday by honouring those who have fought for #workersrights by continuing to fight for the same rights.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"let me tweet about things i'm happy about . .",0.0,0.0,0.0,0.5,0.0,0.0,0.5,1
"damn they been a block away from doing that since last game #smh .",0.0,0.0,0.0,0.5,0.0,0.0,0.5,0
"i'm sorry. but i will have to be missing school tomorrow on account of my post-show ending grief.",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0
" hahahha hahahahah love you mang .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"i would like to go to business school and become a bartender so i can open my own bar down the line.",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1
"a girl with kaleidoscope eyessss. cellophane flowers of yellow and green towering over your headd .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" chance* bugger. i hate typos.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"i cant find the fucking trends!!!! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" really hope so say the english .",0.0,0.0,0.0,0.0,0.0,0.5,0.5,1
"life is like a camera....focus only on what is important and you will capture it perfectly.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"another win for sherlock! #emmys2014 .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"i liked a video from .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"the new bmw i8 is beautiful .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"i feel blessed ty .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"hope to go back some day.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" nice meeting you (possibly again) today..",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" disappointed if it is him. gunna have to remove him from my dream team.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" you are brave! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" when you have time to unwind download percolate by catchy hooks on itunes it'll blow your mind. thanks champ .",0.0,0.0,0.5,0.0,0.0,0.0,0.5,1
"why is my entire feed full of 1d i do not care .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"that sounded bumping tho... what's the name of that cheif keef song i just 'd? i feel like you would know.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"beauty is the beauty that her mother gave her.",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
"me: ok i want my life together .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" aha as bad as that sounds. i'll choose my pieces wisely. i don't want to regret them .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"happy texas independence day---- aaaaooowwww!! love texas <love> .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"#leo : what most others like you is that ability to have people around you. the gift of speech. to be fair with people .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"#mondaymotivation: let your heart be kind. your mind open and your will strong.",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1
"excited for this tomorrow!! .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"you know what or better still....who is the problem. use it for good and not for bad.",0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1
"my heart is pounding and i hate everything.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
" i didn't know you knew. so i had to let you know. i was just showing you that i care.",0.2,0.0,0.0,0.0,0.0,0.0,0.8,1
" that was the part that stood out for me. green is still very much involved which makes the new directors some what dubious.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" thanks brazilian cousin i miss you .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
": a stumbling block to the pessimist is a stepping stone to the optimist. - eleanor roosevelt .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"is anyone providing live scoring for the u.s. women's amateur four-ball qualifier at pasatiempo golf club? thanks!  .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"it'd say back the hell off .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"i wish i cld jst leave my school to get away from the stress .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"lol bae is the best i love you erica youre my only best friend i ever had in the whole universe .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" soon my friend soon .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"#sagittarius can be very carefree but when they find something they actually care about. they care about it so passionately...",0.0,0.0,0.75,0.0,0.0,0.0,0.25,1
"well. fair play owen smith is doing much better tonight than the previous debate! #walesdebates .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" you're welcome. anytime. <kiss> .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"soon my thoughts trailed off the edges of the screen into sheer oblivion &amp; i decided to go do the next best thing to getting high. make art.",0.5,0.0,0.0,0.25,0.0,0.0,0.25,1
"really starting to get concerned about kipnis. looking more and more like his 2013 was an anomaly. he doesn't drive the ball at all! .",0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0
" happy new kids on the block day! can you please play summertime? .",0.0,0.0,0.5,0.0,0.0,0.0,0.5,1
"i have a coupla cross bodys and they are amazeballs for le winter.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" nah up by the sixth form. church of the good shepherd! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"fam. this isn't funny.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"american sniper has ruined the cool films that begin with american .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
" everyone loves getting a boost! #noreasontohide .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
" i am having that same issue! no worries! enjoy your day as well! <happy> .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
" *first time trying on chaminade's scrubs haha. we only start clinicals second year. &amp; am i seeing yu tonight ? .",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
" you're /so/ lucky i like you or i would splash you again in stead of kissing you she smiled against his lips as she spoke .",0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1
"national coffee day - free small coffees at dunkin. you're welcome!! .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"always finding ways to become a better me! .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"wtf is this burn book shit ???? .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"#day #six #hair! #whatsup! lol---- i cant belive this #style has lasted me this #long! #loving it <happy> .",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1
"a12/woodbridge: man in hospital in life-threatening condition after being struck by a lorry outside petrol station .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
" i honestly desperately just want to be her friend tbh .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"i have insomnia like a mofo #sleepdeprived .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"before indie was cool. i would tell people i listened to it. and always got the same response. what's indie? is that like indian music? .",0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,1
" love you mucho mucho .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" hope you got my book w #growingupsocial thx for sharing. hugs to you .",0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1
"love this royal message from ellen! .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"although the future should be a logical extension of the past.... more for taurus .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"please . tell me again that you won't raise taxes? i didn't quite get it the first 3 million times #abvote #abvoteglobal .",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0
" a week! that's amazing. keep it up!! always here if you need a chat. i'm ok thank you <happy> <kiss> .",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1
"just wow. incredibly wow.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"so looks like is doing nothing about the hacking of my gtaonline account... lost all my preorder cash...",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0
"news alert. caroline wozniacki is suffering from a viral illness!!!! ya wouldn't know from the way she is killing...",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0
" hi paker. miss u na for realz hahahaha .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" ah...semalam orientation kan? thank you! congrats to you too!! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" is coming too!! .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"is jim murphy turning a losing speech into a better together speech .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
"i feel really bad for what i did. but i'm fighting my own battles daily. don't got time for extra feelings.",0.5,0.0,0.25,0.0,0.0,0.0,0.25,0
" thank you for reading. <happy> .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"aura dione - in love with the world (acoustic version) - live: .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
": if you let your dog lick your face. you make me sick. or kiss in the mouth .",0.75,0.0,0.0,0.0,0.0,0.0,0.25,0
"digicel is the first network that cause me to earn a cellular phone and i thank them for that...however lime has stepped up their game .",0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,1
"it's not hard to make decisions when you know what your values are.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"happy birthday i hope someone bakes you something delicious! lol .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"even though sounds optimistic about the gr-#eu negotiations. he did not look that happy today. #athenslive .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" i did everything i could to save her life &amp; make her better. while others gave up hope. i stood by her and believed in her.",0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1
"at #mysterylandusa. and were my favorite sets. jamming to their soundclouds now. check them out. #dirty! .",0.0,0.0,0.0,0.5,0.0,0.0,0.5,1
" i hope you're ok. no one deserves that. always here if you need me. stay strong beautiful <kiss> .",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1
"america has the highest number of serial killers in the world.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"gonna be a long couple of days. but hopefully not too bad? .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" check out this great suite at hermitage bay! .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
"it's so hot outside... disgusting .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"this is so true! #beautiful #distance #fro #negativity #peace #happyness .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"a month late to the party. but we are getting our les mis on ce soir... and it is sooo good. #haventseeninyears .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
"like i feel like i'd be 200% happier with myself if i can lose the weight i gained back in highschool. so that's my biggest goal.",0.25,0.0,0.0,0.0,0.0,0.0,0.75,1
"now wondering if i should fly in on tuesday or wednesday for worldcon after convo with i am great at this decision making .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" just keep writing your blog. one can fight &amp; win with a pen! .",0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1
" if you're kind .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"the doors we open and close each day decide the lives we live. the path you choose to follow determines where you go &amp; who travels with you.",0.125,0.625,0.0,0.0,0.0,0.0,0.25,1
"hate a pretending ass hoe .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
"but i hate them both sm .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" 17000 page tax code and then we punish people who have read it. as ever. politicos put your house in order .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0
"slade wilson is the biggest bitch out there .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" i wanted more favs on it lol.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" i was! but was threatened by the tories that i'll be reported &amp; disqualified from elections- fibs! .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0
"absolutely buzzing my tits off mentioned me on instagram. i sound like a bell end but fuck it. thank you .",0.25,0.0,0.0,0.5,0.0,0.0,0.25,0
" chen i love your outfit .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" because.... i deserve. i deserve to be loved.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"count your blessings. not your problems.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
" you guys looked so good today props to ur coordinate noonas .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"chilled day out at the footy . then a nice lol feed.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"but no really. i'm so annoyed with this week.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"my body is on fire holy shit fucking damnit fuck .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"i'm awesome! no one unfollowed me but if they did i would have known thanks to .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"when u regret cutting ur own fringe .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
" iron man is awesome so tech u r awesome .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" i had fun and your pictures are incredible!!! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" the constant talking over people. totally annoying not to mention interrupting etc. no people skills. unlike  .",0.0,0.0,0.0,0.5,0.0,0.0,0.5,0
"#quote #inspiration #motivation #motivationalquote #love .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" corso is the greatest. as time goes on i'd love to see corso just be on game day for final 20 minutes.",0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1
" we are fun.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"for all my mistakes i did in the past. any of those i like to repeat..",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0
"i really cannot figure out the kind of world we are living in. smh .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"also now my discover tab is full of non sequitur tweets from the game awards. :-i .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"lovable labels wins! .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" very of luck for your 100 miler today. go forth &amp; smash it.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
"set your alarms now for tomorrow morning. sunday is only a day of rest after you take 8:45a zumba. 9a spin and/or 10a 90min yoga.",0.25,0.0,0.0,0.25,0.0,0.0,0.5,1
"|| an ino finally followed and faved for a starter. well i am honored. now my creavity must come .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
" #happykriyaansh4thanniversary love u rey and kriya .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"i cried like 5 times already .",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
"the value of a soul .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
". i am always happy to have people put counterarguments. but i have simply received abuse in past 24 hours .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" is the best!! thank youuuuu .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"blueberry breakfast cake. wow i made this today and it was amazing!!! i highly recommend making thi .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
"i just realized i never applied for financial aid. shit.",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0
"love is better than anger. hope is better than fear. optimism is better than despair. so let us be loving. hopeful and optimistic. repost .",0.0,0.0,0.0,0.2,0.0,0.0,0.8,1
" you should because you look beautiful always so be confident okay. this is so gorgeous .",0.0,0.0,0.75,0.0,0.0,0.0,0.25,1
"&gt; and dust before pocketing it. all that running and hiking in 1994 had definitely aided in keeping me fit. i ventured a look &gt; .",0.25,0.0,0.0,0.0,0.0,0.0,0.75,1
"media can suck my ass .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
"these are the people who inspire me. those who make a way when there is none. those who do something no one has done.",0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,1
"this movie is hurting my heart .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0
"somebody killed him after he made that song. probly was a cop .",0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0
". hey hey. life sucks here .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
" this is an even better typo .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"wow. last week i complained about no angry birds and no stub hub on wp7 and now they are available. i control the world with my mind!! .",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1
"i am communicative. open minded. cheerful person. family and friendship are very important...",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"welp i lost a game of trivia crack. my parents now question my intelligence and won't give me dessert .",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0
" congrats &amp; good luck with the new career! really going to miss seeing you in our family room every day! .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
"#5yearsofshaktimohan shakti best dancer n actor .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"john o'mara's wife is awesome.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"hate when people do absolutely nothing during the year and then have the nerve to ask me for my exam review..",0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0
"&gt; here with him and to continue punishing damon. i pocketed the phone. jogging inside and headed straight for the restroom &gt; .",0.4,0.0,0.0,0.0,0.0,0.0,0.6,0
"we aren't objects you ignorant scumbag .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" that's alright. i appreciate it! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" so brutal. feels kind of mean. i mean i know she's not a real person. but jeez.",0.0,0.0,0.2,0.0,0.0,0.0,0.8,0
