Tweet,EVENT,GENERALIZING_SENTENCE,GENERIC_SENTENCE,IMPERATIVE,QUESTION,REPORT,STATE,DYNAMIC,EPISODIC,GENERIC,HABITUAL,NON-GENERIC,STATIC,STATIVE,labels_for_settingA
"ok i take it all back. #yankees winning it all. lol #fairweatherfans.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1
"im stupid. cant be trusted guy.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"i low key miss high school but i wouldn't ever go back. it was just different.",0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0
"i'm sure he loves me so much.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"we create horrors to manage other horrors .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
" imo. yes. celebs don't need gladiators on tw. vouching is fine. but at expense of others feelings? .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"wow thursday night. no radio to record for #tmd or a #nascar weather forecast to write. what to do? .",0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,0.0,1
" lmao i love them tho .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
"i have started to lose faith in messi's free kicks. better he surprises me next time.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.5,0.0,0
"when your boss scares the soul from your body.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
" i'm in bed because i'm a good girl. is it really sad .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"but i did like him on that vh1 show what chilli wants. he seemed much more humble.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
" yeah. she's is one of the elders. that's for sure.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
" of course. if i wanted to look for excuses i could find many more. them playing 76% of our matches is significant.",0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.25,0.0,0.0,1.0,0.75,0.75,1
" i really want patrick mchale to do a long-form series with as much subtlety and beauty as otgw.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"you seth rollins are one dumb bastard.-randy orton .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"thank you for staying  .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"i love watching girl code .",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
"wooow all my confidence just went down the drain.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
"cannot return to the apt til all my shits done. lol fuck .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.5,0.0,0
"i don't care who we get in the semis. #halamadrid #cr7 .",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
"his hair his freaking hair im hyperventilating help me someone .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
" i wore some niner gear yesterday to the multnomah county court house. rep'in during jury duty! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
"wow. that is a scary. scary french pack! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
" just point us in the right damn direction. i got the bowling pin ready .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
"i can't let out my violent feels because i'm feeling sosososososo worried i wanna cry ugh just get well soon please .",0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0
"very true! #inspiration #selflove #selfworth #abundancetapestry via tinybuddha .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
"lol... whole of twitter barca fans r shocked n outraged hope we manage to win 3 points. we need it badly.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.2,1.0,0.8,0.8,0
" naw. i'm alright.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"in giving up cookout for lent. this was the hardest decision i've ever had to make and i thank u all for your support. #imsorrycookout .",0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.25,0.0,0.0,1.0,0.75,0.5,1
"i finished annotating bread givers all in one day give me props .",0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.0,1
": we will ...please fuck off banners .",0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0
" i can see them going with shelton if he's available. but he has much more diversity. baalke values diversity.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"love this song .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
" but i kinda like canada its peaceful and huge <happy> .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
" trop vrai mais qu'est ce qui ce passe? angie qui ose te prendre pour une c*nne? <kiss> .",0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0
"im just constantly excited for my next meal throughout the day .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1
"broadchurch has redeemed itself. that ep was bloody good .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,1
"i love when the caps win outright rather than keeping it close! .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1
"this is me trying to be the bar tender/waiter of your dreams. @ headshots .",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
" and very nicely written by .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"you confused fr  .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"shut the fuck up .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
"the opposite of war isn't peace. it's creation .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"i've never had any interest in british politics. but anytime a conservative wins. whether it be in england or estonia. i'm pleased.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,1.0,0.75,1.0,1
"any coach and any team with a player like messi will be dependant on him. you fool .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
" haha true true i will .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
" i been rippin and running all day so tbh. im pushin it by watching one movie lol. just jp is fine .",0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1
" haha you're a terrible man! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"or is that patrick duffy? .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"buhay nerd si nagrereklamo na scam daw yung dustless eraser ng faber castell lol .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"enough. leave me alone .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
"me and gogo (my stuffed jaguar) about to go to sleep. my head is killing me.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
" that's awesome! congrats.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
"if my family doesn't like you. then you have to go.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0
"trying to find the strength to start getting ready for my day.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
"i love to play. i exult in excitement. inspiration and intelligence. i indulge in all that feeds the mind. body and soul.",0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.75,0.25,0.0,0.5,1.0,0.25,0.25,1
" exactly!!! ohhh i live in a scheme as well aarrgghhh! no room to swing a cat in my kitchen!! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"worst part of sophomore year: scarlet letter annotations .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
" who doesn't love a god hammy .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"i love softball so dang much .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
" she actually timed it i could cry .",0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,0.0,0
"if they knew the only reason anyone even talks to me is because of the people that fucked me over.",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0
" ima be honest.... he's a bit like me xd .",0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
" not yet patrick. they want it hushed up! let's get our ethnic minority candidates shaming them! .",0.0,0.0,0.2,0.4,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,1.0,0.6,0
"love finding money in the purse i forgot about last week haha .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"a little crowded but you know? this is kind of what i always wanted and didn't even know i wanted tbh.",0.0,0.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
" you bad ass .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
"3) follow everyone who retweets .",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
"you know i want to die but im really afraid of death i have no purpose to live all i am is a worthless pos and a waste of time just kill me .",0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.2,0.2,0.0,0.0,1.0,0.8,0.8,0
